question,answer by entities and relationships,entities_name,entities,relationships
HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,,"African_Americans, immigration, United_States","Q49085, Q131288, Q30",[]
how a water pump works,,"Water pump, work","Q2245442, Q42213",[]
how old was sue lyon when she made lolita,,"Sue Lyon, Lolita","Q436722, Q536560",[]
how are antibodies used in,,"antibody, use","Q79460, Q1724915",[]
HOW MUCH IS CENTAVOS IN MEXICO,,Mexican centavo,Q4730,[]
How long was Mickie James with WWE?,,"Mickie James, WWE","Q270712, Q35339",[]
how does interlibrary loan work,,Interlibrary loan,Q1078266,
what bacteria grow on macconkey agar,,"Bacteria, macconkey agar","Q10876, Q1542323",
how did harmon killebrew get strong,,Harmon Killebrew,Q1585630,
How much did Waterboy grossed,,"Waterboy, gross","Q1574222, Q1466128",
how is whooping cough distinguished from similar diseases,"Runny nose, fever, cough, apnea, fatigue, vomiting",Pertussis,Q134859,"P780, symptoms and signs"
How Do You Play Spades,,Spades,Q2121032,
what causes heart disease,"Obesity, atherosclerosis",Heart disease,Q190805,"P1479, has contributing factor"
what countries did immigrants come from during the immigration,,"Immigration, immigrant","Q131288, Q12547146",
what can sql 2005 do,,SQL,Q47607,
what does righteousness mean,,Righteousness,Q1144825,
how does a dim sum restaurant work,,"Dim sum, restaurant","Q339836, Q11707",
what city was the convention when gerald ford was nominated,,"Gerald ford, city, convention","Q9582, Q515, Q625994",
how is jerky made,,Jerky,Q1072897,
what did tycho brahe do,,Tycho brahe,Q36620,
how old r Dylan and Cole Sprouse,,Dylan and Cole spouse,Q209511,
what does s.h.i.e.l.d stand for,,s.h.i.e.l.d,Q911971,
what day is st. patricks day,,Saint Patrick’s Day,Q181817,
how many books are included in the protestant Bible?,,"Book, protestant bible","Q571, Q7251597",
what became of rich on price is right,,,,
how did women's role change during the war,,Women’s roles in the world wars,Q8031228,
how many seasons were there of the wire,5,The Wire,,Number of seasons
how many humps on a camel,,"Hump, camel","Q11996465, Q1347070",
what can be powered by wind,,Wind power,Q43302,
what county is jacksonville florida in,,Jacksonville,Q16568,
what does a liquid oxygen plant look like,,"Liquid oxygen, plant","Q618153, Q756",
What does Human sperm consist of?,,"Human, sperm","Q5, Q17145",
what does alkali do to liquids?,,"Alkali, liquid","Q485742, Q11435",
how jameson irish whiskey is made,,Jameson,Q2482,
what does gloria in excelsis deo mean,,Gloria in excelsis deo,Q211979,
how many grams in a troy ounce of gold,,"Grams, troy ounce, gold","Q411803, Q1323615, Q430099",
how much of our universe does plasma make up,,"Universe, plasma","Q1, Q10251",
what circuit court is maryland,,"Circuit court, maryland","Q6311907, Q1391",
how often does ham station need to ID?,,"Station, idendification","Q128195564, Q11679892",
how many days are in a leap year,,"Leap year, days","Q19828, Q573",
what county is bethlehem pa in,,Bethlehem,Q164380,
what company is cricket wireless by,,"Company, cricket wireless","Q783794, Q5184987",
how many numbers on a credit card,,"Number, credit card","Q11563, Q161380",
what does hair testing show,,"Hair, testing","Q28472, Q1003030",
how did John F. Kennedy die?,Parkland memorial hospital,John F. Kenndy,,Place of death
how many members are in the house of representatives,,"Member, representative","Q9200127, Q11997597",
what does uncle sam represent to the american people,,"Uncle Sam, americans","Q184689, Q846570",
what does karma mean in buddhism,,"Karma, buddhism","Q132196, Q748",
how do insulin syringes work,,Insulin syringes,Q93713710,
how did david carradine die,Erotic asphyxiation,David Carradine,Q187038,P509 cause of death
what causes a small bowel obstruction,,Bowel obsruction,Q16244733,
how was the president involved in the gulf war,,"President, gulf war","Q30461, Q37643",
what county is bolingbrook il in?,,Bolingbrook,Q891359,
how many amendments in us,,"Amendments, United States of America",Q30,
How many Muslims live in the United Kingdom?,,"Muslims, United Kingdom","Q47740, Q145",
how many players on a side for a football game,,"Player, side, amrican football game","Q4197743, Q30444261, Q21140826",
how long to take iwo jima,,Iwo Jima,Q201633,
what creates a cloud,,Cloud,Q8074,
what day is 2011 super bowl?,,Super bowl XLV,Q371433,
how many mvps has kobe bryant won,,"most valuable player award, kobe bryant","Q652965, Q25369",
how many asian indians live in usa,,"asian, indians, usa","Q862086, Q48, Q30",
what happened to george o'malley on grey's anatomy?,,"george o'malley, grey's anatomy","Q2293323, Q438406",
how much did yankee stadium cost,,"Yankee Stadium, cost","Q753529, Q240673",
What happened during the Starving Time in Jamestown?,,"Starving time, jamestown","Q12681167, Q983861",
what food is in afghan,,"food, afghanistan","Q2095, Q889",
how kimberlite pipes form,,volcanic pipe,Q2261752,
what county is coatesville indiana located in,United States of America,coatesville indiana,Q1133193,"P17, country"
what does continuous improvement mean,,continual improvement process,Q1318104,
what are points on a mortgage,,"discount point, mortgage loan","Q1228335, Q1210094",
WHAT IS A FY QUARTER,,"fiscal year, quarter","Q191891, Q2983893",
who wrote a rose is a rose is a rose,,"rose is a rose is a rose is a rose, write","Q3367122, Q709113",
what is a notary for,,notary,Q189010,
who played the lead roles in the movie leaving las vegas,Nicolars Cage,leaving las vegas,Q280918,"P161, cast member"
what is a CMM machine,,coordinate-meaning machine,Q1426871,
what percentage of water in in the body,,"percent, water, body","Q11229, Q283, Q2385",
what is a day care for?,,day care,Q364005,
where does a flea live,,flea,,
what is a group of deer called,,deer,Q23390,
what state was john mccain a senator in during the 2008 election,,"John McCain, United States Senate, 2008 united states presidential election, state","Q10390, Q66096, Q45578, Q7275",
where do crocodiles live,,"crocodile, live","Q2535664, ?",
what relates to erosion,,erosion,Q80026,
where in oregon is albany,,"albany, Q824","Q24861, Q824",
what year did isaac newton die,31 March 1727,Isaac Newton,Q935,"P570, date of death"
where fourth of july came from,,Independence Day,Q86591,
what are layers of the ionosphere,,"layer, ionosphere","Q36956983, Q23497981",
what is a newsgroup message,,"Usenet newsgroup, message","Q657881, Q628523",
what are some legal uses of meth,,"D-methamphetamine, use","Q191924, Q1724915",
Where does the word baptism come from,,baptism,Q35856,
what school did Zach Thomas play for before making it in to the NFL,,"Zach Thomas, National Football League","Q3574509, Q1215884",
what order is the moth,,moth,Q1725788,
what kind of school is MIT,,Massachusetts Institute of Technology ,Q49108,
what part of the earth's structure is believed to consist of tectonic plates,,"structure of Earth, plate tectonics","Q1664027, Q7950",
what is a letterbox movie,,letterboxing,Q5539855,
what is a popular people meter,,people-meter,Q3780321,
when to use semicolon,,;,Q104394,
who sang black velvet,Alannah Myles,Black Velvet,Q880611,"P175, performer"
WHAT ARE HERITABLE TRAITS,,heritability,Q1503548,
what year was christianity introduced to sub-saharan africa,,"year, christianity, Sub-Saharan_Africa","Q577, Q5043, Q132959",
what is a D.O. stand for medical doctor,,"Doctor of Osteopathic Medicine, physician ","Q5287521, Q39631",
what is a wwII theater,,"World War II, theater ","Q362, Q718893",
who invaded north africa during ww2,,"Operation Torch, World War II","Q194132, Q362",
WHAT YEARS WAS THE C5 VETTE PRODUCED,,"year, Chevrolet Corvette C5","Q577, Q1135711",
when does the royal standard fly?,,Royal Standard of the United Kingdom,Q1759664,
What are the lateral and median apertures of the brain?,,"lateral aperture, median aperture, human brain","Q1824021, Q2331256, Q492038",
what part of the pig do pork chops come from,,"part, pork chop","Q15989253, Q860985",
what are the parts of plant stems?,"plant secretory tissue, bark",plant stem,Q134267,"P527, has part(s)"
what is an army specialist,,Specialist ,Q1434096,
when did spongebob first air,1 May 1999,"SpongeBob SquarePants, season 1",Q864687,"P580, start time"
what are d.o. of medicine,,Doctor of Osteopathic Medicine,Q5287521,
what is active learning strategies,,active learning,Q1542052,
who sang I want to dance with somebody,,,,
what type of business is walmart,retail,Walmart ,Q483551,"P452, industry "
when did qing dynasty begin,1644,Qing dynasty,Q8733,"P580, start time"
who owns youtube,Google,YouTube ,Q866,"P749, parent organization"
when did texas become a state,29 December 1845,Texas ,Q1439,"P571, inception"
who made the matrix,The Wachowskis,The Matrix,Q83495,"P57, director"
what are some six sigma tools used,,Six Sigma,Q236908,
who created massey ferguson,,Massey Ferguson,Q579509,
where do the mohawks live,,Mohawk people,Q116971,
when did proof die,11 April 2006,Proof,Q314597,"P570, date of death"
when did ww1 end?,11 November 1918,World War I,Q361,"P582, end time"
what year did mexico gain independence from spain,1821,Mexico,Q96,"P571, inception "
What are procedure codes terms in coding?,,"subroutine, Expression_(computer_science)","Q190686, Q778379",
what year was smokey the bear invented,1944,Smokey Bear,Q493361,"P571, inception "
who said tv is a vast wasteland,,Wasteland Speech ,Q7972870,
what is a duvet cover used for,hygiene ,duvet cover,Q2397457,"P366, has use"
